c0,c1,c2,c3,Requested_tolerance,estimated_error,l0,l1,l2,l3,Total_retrieve_size,MaxErr,MSE,PSNR
0.28,3.37,4.56,0.53,9953.48,9945.6,11,9,7,3,2520706,6784.24,573563,42.3737
2.92,1.13,5.06,3.22,9953.48,9950.72,13,8,8,5,6626542,1880.37,131706,48.7635
1.17,1,1.66,4.64,9953.48,6782.08,13,9,7,6,9518004,1452.66,62307.9,52.0141
0.98,0.48,2.94,0.88,9953.48,7232,12,7,7,4,3263827,3772.94,390357,44.0449
3.72,4.86,1.69,0.9,9953.48,8629.76,13,9,6,4,2945850,4082.29,429074,43.6342
1.77,2.89,0.55,1.24,9953.48,9038.08,12,8,5,4,2273498,5757.91,568791,42.41
3.06,4.58,4,5.49,9953.48,8353.92,14,10,8,6,10744362,1048.01,46398.4,53.2945
2.9,5.27,3.21,2.95,9953.48,8452.48,14,10,8,5,7061079,1818.39,127171,48.9156
2.45,4.78,1.64,1.75,9953.48,9616,13,10,7,4,3850178,3848.68,373374,44.238
3.04,4.25,2.29,3.61,9953.48,9158.4,15,10,8,5,7100983,1822.04,127144,48.9165
2.53,1.41,5.29,1.34,9953.48,9080.96,13,8,8,4,4431614,3791.06,363254,44.3574
3.5,3.18,4.52,3.73,9953.48,6596.8,15,10,8,6,10784266,1053.47,46324.6,53.3014
1.32,3.26,0.19,3.24,9953.48,8417.28,12,9,5,5,4654289,3948.61,338722,44.6611
0.18,4.03,3.82,2.17,9953.48,8963.84,10,10,7,5,5948157,2263.59,158132,47.9693
4.09,5.09,2.15,2.72,9953.48,8554.56,14,10,7,5,6083395,2152.43,142464,48.4225
3.36,1.85,0.42,1.12,9953.48,7470.08,13,8,5,4,2309668,5805.91,568140,42.4149
2.56,2.77,3.12,4.32,9953.48,6457.6,14,10,8,6,10744362,1048.01,46398.4,53.2945
2.7,1.02,4.05,4.64,9953.48,7172.48,14,9,8,6,10533977,1072.94,47299.2,53.211
3.78,1.76,2.56,4.19,9953.48,6112.32,15,9,8,6,10573881,1084.94,47239.8,53.2164
2.43,4.96,4.92,3.87,9953.48,6877.12,14,11,8,6,10975794,1053.31,46117.8,53.3208
1.51,4.78,1.8,5.03,9953.48,7702.4,13,10,7,6,9728389,1506.37,61297.4,52.0851
4.67,3.74,3.7,2.38,9953.48,9291.2,14,10,7,5,6083395,2152.43,142464,48.4225
2.64,2.51,1.31,3.81,9953.48,9871.36,14,9,7,5,5873010,2151.35,143568,48.3889
4.4,4.88,2.05,3.59,9953.48,9834.24,15,11,7,5,6354731,2142.68,142299,48.4275
1.3,0.43,5.35,0.68,9953.48,8916.48,12,7,8,3,3191478,6581.93,570346,42.3981
4,3.25,3.8,3.14,9953.48,9336.32,14,9,8,5,6850694,1828.19,128194,48.8808
1.57,0.48,2.26,0.1,9953.48,9929.44,12,7,6,0,1208626,11123.2,592665,42.2314
1.9,4.71,1.67,4.92,9953.48,7411.84,14,10,7,6,9766678,1504.37,61128.9,52.097
4.73,5.41,1.16,4.21,9953.48,5920.8,15,11,7,6,10038014,1513.66,60856.9,52.1164
3.88,0.7,3.73,1.02,9953.48,8962.56,13,7,7,4,3299997,3780.35,389765,44.0515
4.56,3.5,1.03,1.3,9953.48,8622.08,13,9,6,4,2945850,4082.29,429074,43.6342
3.1,0.03,0.85,1.64,9953.48,8902.4,13,4,6,4,2344341,7647.69,938562,40.2349
1.16,3.9,1.06,4.79,9953.48,6563.84,13,10,7,6,9728389,1506.37,61297.4,52.0851
4.29,3.27,3.28,3.36,9953.48,9047.84,15,10,8,5,7100983,1822.04,127144,48.9165
4.94,2.41,2.55,1.93,9953.48,7259.84,15,9,7,5,5912914,2154.35,143588,48.3883
4.82,4.7,4.97,2.7,9953.48,8830.08,14,10,8,5,7061079,1818.39,127171,48.9156
0.46,1.38,5.01,0.03,9953.48,8161.42,10,7,7,0,1841790,10957.5,553576,42.5277
2.34,4.58,4.61,1.87,9953.48,6851.2,14,10,8,5,7061079,1818.39,127171,48.9156
0.02,3.46,1.31,1.21,9953.48,8606.72,7,9,6,4,2796852,6045.11,1.79658e+06,37.415
3.26,0.97,5.41,1.38,9953.48,9127.68,13,8,8,4,4431614,3791.06,363254,44.3574
0.12,0.45,1.71,0.69,9953.48,9738.24,9,7,6,3,1436939,7255.04,714842,41.4174
1.04,2.71,5.03,4.19,9953.48,7279.36,13,10,8,6,10706073,1052.29,46501.1,53.2849
1.89,0.58,4.04,5.2,9953.48,7750.72,14,8,8,6,10348114,1211.03,50879.3,52.8941
2.55,1.66,3.46,1.06,9953.48,8897.92,13,8,7,4,3453930,3833.64,377764,44.1873
4.88,1.23,1.81,1.99,9953.48,6636.8,15,8,7,5,5727051,2184.03,146736,48.2941
0.54,1.2,2.92,2.36,9953.48,8576,11,8,7,5,5579804,2271.03,150809,48.1752
3.51,4.67,4.62,1.64,9953.48,9792.96,14,10,8,4,4866151,3618.56,358696,44.4122
5.42,5,3.68,3.3,9953.48,9369.28,15,10,8,5,7100983,1822.04,127144,48.9165
4.22,4.24,0.78,2.55,9953.48,7497.6,14,10,6,5,5389452,2807.67,196109,47.0345
3.51,4.05,2.99,4.25,9953.48,6457.44,15,10,8,6,10784266,1053.47,46324.6,53.3014
4.75,4.34,4.62,3.7,9953.48,6508,15,11,8,6,11015698,1057.31,46051.3,53.3271
2.27,3.35,3.13,1.31,9953.48,9719.04,12,9,7,4,3603623,3803.02,375040,44.2187
5.31,3.01,2.21,5.41,9953.48,8273.12,15,10,7,6,9806582,1508.37,61087.8,52.0999
0.14,0.27,3.34,4.1,9953.48,6220.8,11,7,8,6,10086838,1486.68,66414.3,51.7369
1.96,4.25,1.98,4.79,9953.48,7539.2,14,10,7,6,9766678,1504.37,61128.9,52.097
1.41,1.99,1.81,1.9,9953.48,6344.32,13,9,7,5,5834721,2173.85,143859,48.3801
2.37,3.04,2.09,4.21,9953.48,6916.16,14,10,7,6,9766678,1504.37,61128.9,52.097
4.7,4.3,3.31,4.76,9953.48,7194.56,15,10,8,6,10784266,1053.47,46324.6,53.3014
0.89,0.11,3.52,2.73,9953.48,9534.72,12,6,7,5,5338278,2930.45,205006,46.8418
2.2,2.67,1.08,2.89,9953.48,8954.88,13,9,6,5,5140778,2741.68,197256,47.0092
2.32,3.21,3.83,1.63,9953.48,9607.68,13,9,8,4,4617477,3662.42,359694,44.4002
1.86,5.38,4.49,5.33,9953.48,8160.64,14,11,8,6,10975794,1053.31,46117.8,53.3208
4.78,2.7,4.74,3.09,9953.48,9599.36,14,9,8,5,6850694,1828.19,128194,48.8808
0.55,0.03,1.48,3.83,9953.48,9623.04,11,5,7,5,5217610,3825.96,328055,44.8
1.14,0.92,1.33,1.8,9953.48,9278.72,13,8,7,4,3453930,3833.64,377764,44.1873
2.78,2.35,2.86,5.07,9953.48,7045.76,14,10,8,6,10744362,1048.01,46398.4,53.2945
2.21,1.82,3.26,1.84,9953.48,7643.2,14,9,7,5,5873010,2151.35,143568,48.3889
4.85,1.87,4.58,1.17,9953.48,7771.2,14,9,8,4,4655766,3646.42,359579,44.4015
3.23,3.36,1.55,0.28,9953.48,7601.92,12,8,6,3,1673784,7111.37,626940,41.9872
5.38,4.48,0.92,5.45,9953.48,8124.48,15,10,6,6,9112639,1928.08,115651,49.328
0.75,0.6,4.5,1.37,9953.48,8625.92,12,7,8,4,4241511,3690.31,375665,44.2115
3.5,0.63,0.55,2.83,9953.48,8805.76,14,7,5,5,4388952,3937.81,353803,44.4719
1.74,2.86,5.21,0.56,9953.48,8098.56,13,9,8,3,3567444,6443.23,554359,42.5216
2.87,0.14,1.69,0.14,9953.48,8652.83,13,6,7,0,1818262,11004.3,583643,42.298
1.68,2.25,0.32,0.44,9953.48,8960,11,7,4,3,805781,9448.51,1.03348e+06,39.8165
2.42,0.2,3.35,1.69,9953.48,9124.48,14,6,8,4,4195493,4736.91,421460,43.7119
2.38,4.95,1.6,5.28,9953.48,7754.88,14,10,7,6,9766678,1504.37,61128.9,52.097
