c0,c1,c2,c3,Requested_tolerance,estimated_error,l0,l1,l2,l3,Total_retrieve_size,MaxErr,MSE,PSNR
3.7,5.14,3.03,3.74,9953.48,9928,15,10,8,5,7100983,1822.04,127144,48.9165
0.17,3.03,0.85,2.54,9953.48,7805.44,10,9,6,5,5043829,2735.11,213146,46.6727
3.04,0.48,2.86,1.95,9953.48,7511.04,14,7,7,5,5533214,2570.02,159209,47.9398
2.84,4.7,2.35,1.3,9953.48,9116.16,13,9,7,4,3639793,3819.02,374368,44.2265
0.71,2.89,4.25,0.11,9953.48,8076.05,12,9,8,0,3220049,11155.9,508447,42.897
4.51,0.23,0.14,3.09,9953.48,8090.56,14,6,4,5,4037608,7315.85,653095,41.8097
2.8,0.17,4.47,4.59,9953.48,7252.48,14,7,8,6,10194181,1419.88,62549.3,51.9973
1.17,4.47,1.13,0.54,9953.48,8181.76,11,9,6,3,1826763,7172,626411,41.9909
1.56,3.15,5.12,0.36,9953.48,9198.08,12,9,7,3,2553590,6712.24,570126,42.3998
1.36,3.88,2.26,3.34,9953.48,9738.24,13,10,7,5,6045106,2180.43,142726,48.4145
2.05,2.7,2.34,3.81,9953.48,9412.16,14,10,8,5,7061079,1818.39,127171,48.9156
2.56,4.99,0.01,3.35,9953.48,8465.92,13,9,3,5,4379487,12686.8,637377,41.9155
1.84,3.18,0.16,5.19,9953.48,6435.84,14,10,5,6,8622416,3713.28,254367,45.9049
0.31,1.89,5.13,4.29,9953.48,7543.04,12,9,8,6,10459518,1087.52,48201,53.1289
1.67,5.09,1.5,3.27,9953.48,8991.36,13,10,7,5,6045106,2180.43,142726,48.4145
3.48,2.36,4.6,1.41,9953.48,8846.08,14,9,8,4,4655766,3646.42,359579,44.4015
0.5,2.3,3.07,5.48,9953.48,7836.16,12,9,8,6,10459518,1087.52,48201,53.1289
3.07,2.89,0.05,2.15,9953.48,5650.88,14,9,4,5,4497881,7319.02,592178,42.235
2.53,5.48,0.77,2.47,9953.48,7498.88,13,10,6,5,5351163,2791.67,196261,47.0312
2.26,4.12,2.59,4.93,9953.48,8300.16,14,10,7,6,9766678,1504.37,61128.9,52.097
3.13,0.78,2.06,0.65,9953.48,8433.28,13,7,7,3,2249964,6711.62,585261,42.286
1.51,0.06,3.4,2.87,9953.48,9798.4,12,5,7,5,5250494,3953.96,324033,44.8536
5.25,2.09,5.23,1.77,9953.48,6921.76,15,9,8,5,6890598,1831.19,128181,48.8813
5.5,1.48,3.32,1.5,9953.48,8310.72,15,9,8,4,4695670,3662.42,359512,44.4024
0.79,4.18,1.39,3.18,9953.48,8572.16,12,10,7,5,6008936,2159.55,143235,48.399
3.7,4.53,4.43,2.68,9953.48,8455.04,14,10,8,5,7061079,1818.39,127171,48.9156
3.87,1.09,3.89,2.74,9953.48,8285.12,14,8,8,5,6664831,1857.87,131533,48.7692
3.84,1.39,4.92,1.49,9953.48,9456.64,14,8,8,4,4469903,3775.06,363192,44.3581
2.86,2.25,4.85,4.41,9953.48,7378.56,14,10,8,6,10744362,1048.01,46398.4,53.2945
4.87,1.93,1.27,5.04,9953.48,7033.44,15,9,7,6,9596197,1454.66,62084.2,52.0297
3.28,0.53,3.2,1.58,9953.48,8486.4,14,8,8,4,4469903,3775.06,363192,44.3581
4.71,5.2,3.4,1.62,9953.48,9117.28,15,10,8,4,4906055,3634.56,358614,44.4132
1.95,4.14,5.39,1.85,9953.48,7203.2,13,10,8,5,7022790,1846.29,127367,48.9089
1.63,1.03,4.01,0.71,9953.48,7646.08,13,8,7,4,3453930,3833.64,377764,44.1873
0.85,1.57,4.31,4.96,9953.48,7742.08,13,9,8,6,10495688,1072.94,47430.5,53.1989
0.18,1.3,1.83,4.45,9953.48,6809.6,11,9,7,6,9448950,1448.66,66054.3,51.7605
2.74,0.61,2.89,3.56,9953.48,9170.56,14,8,8,5,6664831,1857.87,131533,48.7692
2.92,3.09,1.63,1.8,9953.48,9926.4,14,9,7,4,3678082,3793.02,374187,44.2286
0.87,3.24,3.77,1.95,9953.48,6449.92,12,10,8,5,6986620,1836.39,128008,48.8871
1.63,4.09,3.38,0.55,9953.48,9222.4,12,9,7,3,2553590,6712.24,570126,42.3998
3.1,0.57,4.91,2.89,9953.48,9115.52,14,7,8,5,6510898,2087.25,143686,48.3854
5.39,3.75,2.21,1.7,9953.48,9878.72,14,10,7,4,3888467,3822.68,373223,44.2398
2.06,2.43,2.37,1.18,9953.48,8636.16,13,8,7,4,3453930,3833.64,377764,44.1873
0.56,4.92,3.93,1.55,9953.48,9062.4,12,10,8,4,4791692,3634.56,359642,44.4008
2.63,0.03,2.46,4.11,9953.48,9883.84,14,5,8,5,6302637,3809.49,307408,45.0823
1.49,1.61,0.21,2.99,9953.48,7998.72,12,8,5,5,4468426,4159.57,341775,44.6221
1.24,4.65,1.52,5.34,9953.48,7699.2,13,10,7,6,9728389,1506.37,61297.4,52.0851
0.44,4.98,0.85,2.39,9953.48,7385.6,11,10,6,5,5282109,2743.67,199913,46.9511
0.49,4.63,0.25,4.85,9953.48,6645.76,12,10,5,6,8547957,3673.28,255169,45.8912
2.84,1.98,3.78,2.58,9953.48,9843.2,13,9,7,5,5834721,2173.85,143859,48.3801
2.46,0.39,4.39,1.04,9953.48,9711.36,13,6,7,4,3179520,4491.73,435706,43.5676
3.08,3.81,4.08,2.95,9953.48,8716.8,14,10,8,5,7061079,1818.39,127171,48.9156
3.53,2.81,4.11,3.36,9953.48,9817.92,14,9,8,5,6850694,1828.19,128194,48.8808
1.33,3.26,0.24,2.62,9953.48,7353.6,12,9,5,5,4654289,3948.61,338722,44.6611
1.21,0.34,0.25,3.41,9953.48,8858.88,12,6,5,5,4194016,4572.23,398744,43.9526
4.72,1.86,2.65,3.73,9953.48,9547.52,15,9,8,5,6890598,1831.19,128181,48.8813
2.04,2.19,5.43,1.86,9953.48,7280.64,13,9,8,5,6812405,1850.69,128419,48.8732
3.56,1.96,1.95,1.38,9953.48,8766.72,14,8,7,4,3492219,3807.64,377636,44.1888
4.13,2.01,0.32,2.11,9953.48,6278.72,14,9,5,5,4728748,3900.61,338042,44.6698
1.73,0.36,0.24,3.27,9953.48,8159.36,13,7,5,5,4350663,3937.05,354197,44.467
2.35,0.41,2.66,1.86,9953.48,7028.16,14,7,7,5,5533214,2570.02,159209,47.9398
3.92,3.78,5.09,4.92,9953.48,8190.72,15,10,8,6,10784266,1053.47,46324.6,53.3014
4.7,5.21,3.93,2.42,9953.48,9797.76,14,10,7,5,6083395,2152.43,142464,48.4225
3.1,0.9,5.3,4.66,9953.48,8045.44,14,8,8,6,10348114,1211.03,50879.3,52.8941
2.16,0.28,5.07,3.74,9953.48,9313.28,14,7,9,5,7734859,2054.92,139622,48.5099
3.22,5.23,5.32,4.03,9953.48,7236.8,15,11,8,6,11015698,1057.31,46051.3,53.3271
5.49,3.35,2.64,5.53,9953.48,8882.72,15,10,7,6,9806582,1508.37,61087.8,52.0999
3.74,5.45,4.78,3.88,9953.48,6829.12,15,11,8,6,11015698,1057.31,46051.3,53.3271
5.26,3.17,2.53,4.26,9953.48,6147.52,15,10,8,6,10784266,1053.47,46324.6,53.3014
0.79,4.2,0.28,3.66,9953.48,9920,11,9,5,5,4621405,3884.61,342463,44.6134
2.19,3.46,2.42,1.22,9953.48,8501.12,13,9,7,4,3639793,3819.02,374368,44.2265
5.12,2.2,1.73,5.38,9953.48,7925.76,15,9,7,6,9596197,1454.66,62084.2,52.0297
3.81,3.2,1.88,2.94,9953.48,8887.36,14,9,7,5,5873010,2151.35,143568,48.3889
4.43,4.77,2.36,0.8,9953.48,7056.32,14,9,7,4,3678082,3793.02,374187,44.2286
3.74,1.73,2.37,3.05,9953.48,9678.72,14,8,7,5,5687147,2181.03,146743,48.2939
4.96,0.54,5.12,1.15,9953.48,8043.52,14,7,8,4,4315970,3673.31,374786,44.2217
1.42,5.51,1.77,2.59,9953.48,7912.96,13,10,7,5,6045106,2180.43,142726,48.4145
3.99,5.42,3.38,1.02,9953.48,9281.92,13,9,7,4,3639793,3819.02,374368,44.2265
3.57,1.37,0.18,5.4,9953.48,6731.84,14,9,5,6,8412031,3665.29,255434,45.8867
2.27,3.8,4.91,1.05,9953.48,7932.8,13,9,8,4,4617477,3662.42,359694,44.4002
2.29,1.55,2.79,3.86,9953.48,9803.84,14,9,8,5,6850694,1828.19,128194,48.8808
3.2,1.02,0.8,0.04,9953.48,8028.35,11,6,5,0,604946,11074.7,774808,41.0676
5.13,0.48,2,1.61,9953.48,9298.24,14,7,7,4,3338286,3755.94,389543,44.0539
1.61,0.61,2.47,2.41,9953.48,8192.64,13,7,7,5,5494925,2566.02,159540,47.9308
3.29,3.26,3.02,0.89,9953.48,7783.04,13,9,7,4,3639793,3819.02,374368,44.2265
3.01,0.15,1.74,2.44,9953.48,7182.4,14,6,7,5,5412737,2930.45,204148,46.86
4.68,3.07,0.97,3.76,9953.48,9161.6,15,10,7,5,6123299,2156.18,142469,48.4223
0.91,3.96,5.25,3.02,9953.48,9496.32,12,10,8,5,6986620,1836.39,128008,48.8871
5.37,4.63,1.8,5.34,9953.48,7989.92,15,10,7,6,9806582,1508.37,61087.8,52.0999
3.03,1.18,4.93,2.75,9953.48,8954.24,13,8,8,5,6626542,1880.37,131706,48.7635
2.22,2.26,1.26,2.07,9953.48,7540.48,13,9,6,5,5140778,2741.68,197256,47.0092
4.5,1.2,1.77,3.39,9953.48,9513.6,14,8,7,5,5687147,2181.03,146743,48.2939
4.28,1.22,0.13,5.4,9953.48,6442.88,15,9,5,6,8451935,3674.29,255439,45.8866
0.44,0.51,3.75,0.05,9953.48,7414,10,6,7,0,1721313,10983.8,599896,42.1787
4.67,3.87,4.77,2.01,9953.48,7203.52,14,10,8,5,7061079,1818.39,127171,48.9156
5.01,1.52,4.48,5.02,9953.48,7903.52,15,9,8,6,10573881,1084.94,47239.8,53.2164
2.03,2.05,0.83,2.6,9953.48,7679.36,13,9,6,5,5140778,2741.68,197256,47.0092
3.15,3.23,3.02,0.18,9953.48,9325.5,15,11,9,0,5000190,10990.1,501978,42.9526
3.9,3.5,3.01,4.74,9953.48,6905.28,15,10,8,6,10784266,1053.47,46324.6,53.3014
4.31,0.36,3.97,0.24,9953.48,7044.48,13,6,7,3,2129487,7027,630193,41.9648
2.16,3,4.07,4.67,9953.48,7319.04,14,10,8,6,10744362,1048.01,46398.4,53.2945
5.08,2.67,0.89,1.01,9953.48,7489.28,14,8,6,4,2798276,4148.5,432728,43.5973
4.57,4.92,2.87,4.34,9953.48,6301.6,15,11,8,6,11015698,1057.31,46051.3,53.3271
2.17,4.64,5.06,4.82,9953.48,8189.76,14,10,8,6,10744362,1048.01,46398.4,53.2945
0.07,5.19,3.6,0.51,9953.48,9336.32,8,9,7,3,2453338,6855.3,892327,40.4543
0.91,2.13,4.09,1.89,9953.48,6626.56,12,9,8,5,6776235,1846.19,129002,48.8535
2.46,2.35,4.48,0.23,9953.48,9873.92,12,8,7,2,2062331,12593.9,535006,42.6759
1.14,1.46,2.35,3.17,9953.48,9792,12,8,7,5,5612688,2199.03,147538,48.2705
5.15,5.39,3.77,1.28,9953.48,9875.68,15,10,7,4,3928371,3825.68,373174,44.2404
5.46,2.14,5.21,1.69,9953.48,6763.84,15,9,8,5,6890598,1831.19,128181,48.8813
0.09,5.07,4,5.35,9953.48,8221.44,10,10,8,6,10609124,1193.06,62860.2,51.9757
1.95,5.17,4.04,2.55,9953.48,8077.44,13,10,8,5,7022790,1846.29,127367,48.9089
1.46,5.44,4.81,1.14,9953.48,7921.92,13,10,8,4,4827862,3634.56,358782,44.4112
1.71,0.06,4.12,4.09,9953.48,6475.2,14,6,8,6,10073704,1998.28,109050,49.5832
3.33,0.48,4.97,3.33,9953.48,9716.8,14,8,8,5,6664831,1857.87,131533,48.7692
5.31,3.58,2.52,3.88,9953.48,9779.68,15,10,8,5,7100983,1822.04,127144,48.9165
4.01,2.45,3.28,4.69,9953.48,6859.68,15,10,8,6,10784266,1053.47,46324.6,53.3014
4.33,3.42,3.19,2.19,9953.48,8328,14,10,7,5,6083395,2152.43,142464,48.4225
0.47,0.3,1.01,3.34,9953.48,9643.52,11,6,6,5,4611451,3230.4,261912,45.7779
2.26,1.06,1.86,4.27,9953.48,6620.8,14,9,7,6,9556293,1450.66,62110.9,52.0278
0.51,3.39,0.52,1.16,9953.48,7879.68,11,9,5,4,2426477,5828.36,568762,42.4102
0.78,3.53,2.2,0.58,9953.48,8107.52,11,9,7,3,2520706,6784.24,573563,42.3737
0.03,4.46,0.97,4.36,9953.48,5774.08,9,11,7,6,9840739,1752.93,137620,48.5727
5.48,0.35,5.32,0.25,9953.48,8563.2,13,6,7,3,2129487,7027,630193,41.9648
2.43,4.43,1.15,0.63,9953.48,8961.28,12,9,6,3,1859647,7100,623420,42.0117
1.96,2.2,5.15,3.72,9953.48,9281.28,14,10,9,5,8285040,1800.38,122984,49.061
2.79,2.1,2.8,2.68,9953.48,9072,13,9,7,5,5834721,2173.85,143859,48.3801
0.92,3.25,5.06,4.86,9953.48,8042.24,13,10,8,6,10706073,1052.29,46501.1,53.2849
4.37,0.5,3.86,1.27,9953.48,9946.24,13,7,7,4,3299997,3780.35,389765,44.0515
1.81,2.49,4.85,0.66,9953.48,8423.04,13,9,7,4,3639793,3819.02,374368,44.2265
4.07,2.01,1.4,5.06,9953.48,7194.72,15,9,7,6,9596197,1454.66,62084.2,52.0297
2.99,4.21,0.54,0.46,9953.48,8518.4,12,8,5,3,1223465,7677.52,765288,41.1212
3.15,2.78,3.79,0.97,9953.48,8767.36,13,9,7,4,3639793,3819.02,374368,44.2265
4.18,4.67,2.82,5.36,9953.48,9040.96,15,10,7,6,9806582,1508.37,61087.8,52.0999
2.01,4.05,3.79,0.23,9953.48,8096,12,8,7,3,2367727,6723.6,573371,42.3751
1.33,0.78,0.21,4.88,9953.48,6341.76,13,8,5,6,8187879,3692.52,258884,45.8284
2.05,4.36,5.37,4.81,9953.48,8298.56,14,10,8,6,10744362,1048.01,46398.4,53.2945
2.7,0.7,5.2,0.58,9953.48,8303.36,13,7,8,3,3227648,6589.93,569820,42.4021
0.18,3.92,1.49,1.25,9953.48,9359.36,9,9,6,4,2826768,4402.02,504527,42.9307
4.68,3.74,1.13,1.23,9953.48,8609.28,13,9,6,4,2945850,4082.29,429074,43.6342
0.26,4.51,0.74,2.73,9953.48,7816.96,10,10,6,5,5254214,2754.64,212322,46.6895
3.05,0.23,3.13,2.69,9953.48,9282.88,14,6,7,5,5412737,2930.45,204148,46.86
5.5,3.54,2.09,3.54,9953.48,9931.2,15,10,7,5,6123299,2156.18,142469,48.4223
4.64,2.93,2.36,5.3,9953.48,8293.12,15,10,7,6,9806582,1508.37,61087.8,52.0999
0.53,1.86,3.72,4.44,9953.48,6995.2,12,9,8,6,10459518,1087.52,48201,53.1289
1.29,0.4,0.36,2.96,9953.48,8111.36,12,7,5,5,4314493,3985.81,354444,44.464
0.48,4.25,2.69,1.61,9953.48,6657.28,12,10,7,5,6008936,2159.55,143235,48.399
5.04,1.8,3.92,2.09,9953.48,6828.8,15,9,8,5,6890598,1831.19,128181,48.8813
5.41,3.03,2.69,5.39,9953.48,8748.32,15,10,7,6,9806582,1508.37,61087.8,52.0999
3.35,5.21,4.81,3.13,9953.48,9647.04,14,10,8,5,7061079,1818.39,127171,48.9156
0.13,2.36,1.32,3.51,9953.48,9210.88,10,9,7,5,5737772,2301.53,159093,47.943
0.05,0.49,4.23,1.26,9953.48,7879.68,9,7,8,4,4158599,3961.72,451203,43.4158
5.25,2.97,5.18,3.83,9953.48,9634.08,15,10,9,5,8324944,1796.38,122975,49.0613
0.45,5.29,3.38,4.65,9953.48,6888.32,12,11,8,6,10901335,1044.25,47033.6,53.2354
3.71,0.21,0.26,0.02,9953.48,8801.38,10,4,3,0,124843,15796.6,1.51422e+06,38.1576
1.13,3.41,2.7,4.79,9953.48,6796.16,13,10,8,6,10706073,1052.29,46501.1,53.2849
1.85,1.77,1.87,0.34,9953.48,8901.12,11,7,6,3,1486967,7112.42,641802,41.8855
5.11,2.7,3.82,5.34,9953.48,7851.36,15,10,8,6,10784266,1053.47,46324.6,53.3014
0.47,1.21,1.79,1.74,9953.48,9699.84,11,8,7,4,3384876,3913.64,381368,44.1461
4.44,5.39,4.83,1.77,9953.48,6858.88,15,10,8,5,7100983,1822.04,127144,48.9165
5.32,4.91,4.96,3.64,9953.48,9081.28,16,11,9,5,8596280,1806.02,122755,49.0691
0.37,3.36,2.61,2.69,9953.48,9136.64,11,9,7,5,5765667,2241.35,147796,48.2629
4.84,3.44,2.31,0.24,9953.48,8768,13,8,6,3,1709954,7112.62,626140,41.9928
4.29,2.67,2.93,4.85,9953.48,6876.96,15,10,8,6,10784266,1053.47,46324.6,53.3014
4.3,3.08,1.8,3.91,9953.48,6310.08,15,10,7,6,9806582,1508.37,61087.8,52.0999
0.09,0.22,0.59,3.58,9953.48,9082.88,9,6,6,5,4561423,3311.98,333837,44.7242
3.01,0.07,0.77,2.86,9953.48,7913.6,13,5,6,5,4592721,4292.3,375844,44.2094
3.03,0.2,2.63,5.36,9953.48,8483.52,14,7,7,6,9216497,1650.65,77510.3,51.0659
2.09,4.39,0.16,1.76,9953.48,9911.04,12,9,4,4,2228494,7518.58,818407,40.8298
2.53,2.48,1.81,3.38,9953.48,9572.48,13,9,7,5,5834721,2173.85,143859,48.3801
5.33,2.1,4.74,0.52,9953.48,9821.76,14,9,7,3,2628049,6681.49,569373,42.4055
3.51,3.66,4.4,0.96,9953.48,9599.36,13,9,7,4,3639793,3819.02,374368,44.2265
4.85,4.45,2.72,2.27,9953.48,8159.04,14,10,7,5,6083395,2152.43,142464,48.4225
2.38,2.25,0.56,2.56,9953.48,7118.08,13,9,6,5,5140778,2741.68,197256,47.0092
2.19,0.35,3.19,2.28,9953.48,8434.56,13,7,7,5,5494925,2566.02,159540,47.9308
5.32,4.25,5.45,2.36,9953.48,8337.92,14,10,8,5,7061079,1818.39,127171,48.9156
1.89,1.81,1.9,0.52,9953.48,9319.68,12,8,6,3,1673784,7111.37,626940,41.9872
2.17,2.62,2.5,1.43,9953.48,9897.6,13,8,7,4,3453930,3833.64,377764,44.1873
3.47,2.33,2.8,3.17,9953.48,8633.28,14,9,8,5,6850694,1828.19,128194,48.8808
3.07,2.51,0.86,4.02,9953.48,9533.12,14,10,7,5,6083395,2152.43,142464,48.4225
1.04,3.79,2.65,4.74,9953.48,6762.24,13,10,8,6,10706073,1052.29,46501.1,53.2849
2.34,5.53,3.76,3.88,9953.48,6327.04,14,11,8,6,10975794,1053.31,46117.8,53.3208
2.43,1.44,1.45,4.9,9953.48,6948.8,14,9,7,6,9556293,1450.66,62110.9,52.0278
1.49,4.76,3.14,4,9953.48,6056,14,11,8,6,10975794,1053.31,46117.8,53.3208
1.23,4.99,3.58,4.93,9953.48,7279.36,13,11,8,6,10937505,1055.31,46234.9,53.3098
4.87,0.58,0.42,1.25,9953.48,7745.92,13,7,5,4,2155735,5632.2,580434,42.322
4.09,1.78,3.51,5.41,9953.48,7858.08,15,9,8,6,10573881,1084.94,47239.8,53.2164
2.66,1.82,2.44,4.11,9953.48,6008.96,14,9,8,6,10533977,1072.94,47299.2,53.211
3.07,2.39,0.67,0.34,9953.48,8369.92,12,7,5,3,1069532,7771.59,777867,41.0504
2.68,4.83,4.84,0.27,9953.48,8747.52,12,9,7,3,2553590,6712.24,570126,42.3998
3.66,1.15,0.11,3.65,9953.48,9199.36,13,8,4,5,4273729,7270.7,595698,42.2092
0.43,4.13,1.93,3.43,9953.48,9639.68,11,10,7,5,5976052,2231.55,146603,48.2981
3.4,4.97,1.67,2.76,9953.48,9817.6,14,10,6,5,5389452,2807.67,196109,47.0345
4.3,2.03,5.33,4.75,9953.48,8181.44,15,9,8,6,10573881,1084.94,47239.8,53.2164
0.47,4.04,1.32,1.22,9953.48,8975.36,10,9,6,4,2848901,4210.79,445628,43.4698
2.89,2.52,3.85,3.72,9953.48,6149.28,15,10,8,6,10784266,1053.47,46324.6,53.3014
1.78,2.11,3.69,4.06,9953.48,6373.76,14,10,8,6,10744362,1048.01,46398.4,53.2945
3.23,3.43,3.46,2.92,9953.48,8294.08,14,10,8,5,7061079,1818.39,127171,48.9156
0.64,1.92,1.57,0.82,9953.48,7720.96,11,8,6,4,2690933,4131.3,436126,43.5634
5.37,4.23,3.44,0.47,9953.48,8799.36,13,9,7,3,2589760,6713.49,569651,42.4034
0.88,1.9,2.8,1.72,9953.48,6988.8,12,9,7,5,5798551,2169.35,144311,48.3665
4.77,0.27,3.86,0.93,9953.48,8467.52,14,6,7,4,3217809,4459.73,435638,43.5682
4.34,2.43,2.55,4.55,9953.48,6345.28,15,10,8,6,10784266,1053.47,46324.6,53.3014
4.98,4.83,0.5,1.25,9953.48,8723.2,13,9,5,4,2495531,5748.36,564918,42.4396
0.15,0.42,1.56,0.81,9953.48,7019.52,10,7,6,4,2509105,4327.28,460484,43.3274
3.8,2.45,4.5,4.82,9953.48,7614.08,15,10,8,6,10784266,1053.47,46324.6,53.3014
0.6,5.15,4.64,3.39,9953.48,9724.8,12,11,8,5,7218052,1832.7,127774,48.8951
3.14,1.21,0.38,2.97,9953.48,8459.52,13,8,5,5,4504596,4095.57,341344,44.6276
5.02,4.63,3.63,4.83,9953.48,7477.44,15,10,8,6,10784266,1053.47,46324.6,53.3014
2.62,4.48,2.4,2.19,9953.48,7600,14,10,7,5,6083395,2152.43,142464,48.4225
0.41,2.8,1.67,0.16,9953.48,9905.4,11,9,7,0,2209481,11005.1,526516,42.7454
1.41,0.14,0.85,5.29,9953.48,7534.72,13,6,6,6,8363788,2919.08,178603,47.4406
5.38,4.06,4.23,2.02,9953.48,6908.48,15,10,8,5,7100983,1822.04,127144,48.9165
3.5,2.13,1.46,1.86,9953.48,9770.88,14,9,7,4,3678082,3793.02,374187,44.2286
0.53,2.54,4.1,1.79,9953.48,6483.2,12,9,8,5,6776235,1846.19,129002,48.8535
3.09,5.19,2.27,4.69,9953.48,7558.08,14,11,7,6,9998110,1509.66,60890.8,52.114
3.98,4.69,1.53,4.88,9953.48,7227.84,15,10,7,6,9806582,1508.37,61087.8,52.0999
4.78,1.02,3.49,2.32,9953.48,9000.32,14,8,7,5,5687147,2181.03,146743,48.2939
1.45,2.17,4.59,2.65,9953.48,8425.6,13,9,8,5,6812405,1850.69,128419,48.8732
3.39,1.56,5.33,2.61,9953.48,8981.44,14,8,8,5,6664831,1857.87,131533,48.7692
0.73,3.93,3.33,4.01,9953.48,6360.96,13,10,8,6,10706073,1052.29,46501.1,53.2849
0.5,3.05,2.27,4.2,9953.48,5917.44,12,10,8,6,10669903,1069.06,47328.4,53.2083
0.43,3.55,1.83,3.57,9953.48,9749.76,11,10,7,5,5976052,2231.55,146603,48.2981
5.27,2.21,4.33,1.42,9953.48,8767.68,14,9,8,4,4655766,3646.42,359579,44.4015
5.32,4.25,0.49,2.55,9953.48,7943.68,14,10,5,5,4939133,3954.77,336853,44.6851
2.65,3.6,5.41,1.95,9953.48,7309.12,14,10,8,5,7061079,1818.39,127171,48.9156
0.83,1.96,0.08,1.41,9953.48,7646.72,11,8,4,4,2009747,7612.18,824560,40.7973
0.15,0.41,2.61,3.35,9953.48,8655.36,11,7,8,5,6403555,2134.86,147835,48.2617
0.01,3.47,0.54,1.74,9953.48,9162.24,7,9,6,4,2796852,6045.11,1.79658e+06,37.415
2.04,4.42,2.27,5.37,9953.48,8454.4,14,10,7,6,9766678,1504.37,61128.9,52.097
1.49,3.66,2.92,3.19,9953.48,8592,13,10,8,5,7022790,1846.29,127367,48.9089
5.2,0.26,2.58,3.17,9953.48,9832.96,14,6,7,5,5412737,2930.45,204148,46.86
4.45,1.5,0.73,2.91,9953.48,8365.12,14,8,6,5,4993204,2760.87,200527,46.9378
2.27,2.77,1.85,3.77,9953.48,6182.08,14,10,7,6,9766678,1504.37,61128.9,52.097
0.39,2.65,4.54,4.94,9953.48,7772.16,12,10,8,6,10669903,1069.06,47328.4,53.2083
5.3,3.16,2.14,3.12,9953.48,9559.68,14,9,7,5,5873010,2151.35,143568,48.3889
4.03,3.84,2.57,1.01,9953.48,8009.6,13,9,7,4,3639793,3819.02,374368,44.2265
0.09,4.18,3.35,2.84,9953.48,9873.92,9,10,7,5,5926024,2529.91,220001,46.5353
2.5,4.06,5.03,2.56,9953.48,8497.92,13,10,8,5,7022790,1846.29,127367,48.9089
5.4,5.48,3.06,1.94,9953.48,7894.4,15,10,7,5,6123299,2156.18,142469,48.4223
2.59,4.71,5.06,4.28,9953.48,7357.76,14,11,8,6,10975794,1053.31,46117.8,53.3208
2.98,0.95,0.45,0.69,9953.48,8849.92,12,7,5,3,1069532,7771.59,777867,41.0504
2.22,1.92,2.75,0.39,9953.48,7278.08,12,8,7,3,2367727,6723.6,573371,42.3751
3.63,1.99,3.76,4.24,9953.48,6579.68,15,10,8,6,10784266,1053.47,46324.6,53.3014
3.29,1.33,3.82,3.7,9953.48,9926.56,15,9,8,5,6890598,1831.19,128181,48.8813
0.18,1.82,2.22,2.35,9953.48,7644.16,10,9,7,5,5737772,2301.53,159093,47.943
3.48,0.99,0.85,1.27,9953.48,9920,13,7,5,4,2155735,5632.2,580434,42.322
2.84,1.44,3.05,1.52,9953.48,9808.64,14,9,7,4,3678082,3793.02,374187,44.2286
3.02,4.02,3.91,4.37,9953.48,7088,14,10,8,6,10744362,1048.01,46398.4,53.2945
3.39,2.78,5.32,4.91,9953.48,8216,14,10,8,6,10744362,1048.01,46398.4,53.2945
3.14,1.58,3.58,2.26,9953.48,8799.36,14,9,7,5,5873010,2151.35,143568,48.3889
1,4.28,3.7,5.14,9953.48,7769.6,13,10,8,6,10706073,1052.29,46501.1,53.2849
4.08,3.82,5.01,3.41,9953.48,9858.56,15,11,8,5,7332415,1817.7,126931,48.9238
3.12,3.95,5.28,3.6,9953.48,9280,15,10,9,5,8324944,1796.38,122975,49.0613
2.87,5.4,0.28,4.11,9953.48,9428.16,14,11,6,5,5620884,2799.74,195862,47.04
5.31,1.7,5.37,3.91,9953.48,9902.56,15,9,9,5,8114559,1815.35,124056,49.0233
2.67,1.59,2.51,5.11,9953.48,8295.36,14,9,7,6,9556293,1450.66,62110.9,52.0278
2.66,0.14,0.89,2.51,9953.48,7420.16,13,6,6,5,4680505,3227.19,258439,45.8359
1.84,5.42,5.27,0.4,9953.48,9602.56,12,10,7,3,2763975,6662.68,569063,42.4079
2.82,3.66,2.31,5.18,9953.48,8228.48,14,10,7,6,9766678,1504.37,61128.9,52.097
2.19,0.5,2.38,3.77,9953.48,9265.6,14,8,8,5,6664831,1857.87,131533,48.7692
4.66,2.8,5.07,3.62,9953.48,9144.64,15,10,9,5,8324944,1796.38,122975,49.0613
4.42,2.93,5.38,0.43,9953.48,9923.2,14,9,7,3,2628049,6681.49,569373,42.4055
1.5,0.74,1.07,4.25,9953.48,5874.56,14,8,7,6,9370430,1472.87,65526.8,51.7953
3.68,3.21,0.34,4.91,9953.48,6193.92,15,10,6,6,9112639,1928.08,115651,49.328
0.48,0.87,0.13,4.89,9953.48,6046.72,12,8,5,6,8151709,3648.93,259502,45.8181
4.1,4.55,4.71,3.33,9953.48,9944.96,14,10,8,5,7061079,1818.39,127171,48.9156
4.03,3.33,4.82,3.93,9953.48,6982.88,15,10,8,6,10784266,1053.47,46324.6,53.3014
3.13,0.53,4.33,3.89,9953.48,6521.76,15,8,8,6,10388018,1206.53,50793.7,52.9014
4.82,1.12,0.6,3.87,9953.48,9882.24,14,8,6,5,4993204,2760.87,200527,46.9378
2.78,0.05,5.3,0.77,9953.48,8963.84,13,5,7,4,3091736,5241.19,552862,42.5333
