c0,c1,c2,c3,Requested_tolerance,estimated_error,l0,l1,l2,l3,Total_retrieve_size,MaxErr,MSE,PSNR
4.48,0.02,2.45,3.86,11586.2,11151.4,7,3,9,8,18580,4657.62,70.9673,82.7683
4.21,4.08,2.5,5.23,11586.2,10543.4,7,7,9,9,27203,1232.9,27.791,86.8398
5.26,5.54,4.02,2.78,11586.2,9054.72,7,8,9,9,29853,1197.35,23.6746,87.536
2.9,5.27,3.21,2.95,11586.2,11049,7,8,9,8,23857,1480.09,27.3607,86.9076
1.04,2.71,5.03,4.19,11586.2,11361.3,5,7,9,9,26184,1232.9,33.3991,86.0415
2.42,1.29,2.1,1.33,11586.2,9538.56,6,6,9,7,14922,3046.04,48.7242,84.4014
0.51,3.68,3.16,0.76,11586.2,8494.08,5,7,9,7,15788,2875.82,45.4287,84.7055
0.89,0.11,3.52,2.73,11586.2,10101.8,5,4,9,8,17748,2834.36,66.9621,83.0205
2.39,4.14,1.6,3.61,11586.2,9704.96,6,7,8,9,23913,1614.88,36.7337,85.6282
4.72,1.13,2.09,4.7,11586.2,10854.4,7,6,8,9,23204,1768.2,39.6967,85.2913
1.03,2.79,5.03,4.8,11586.2,9182.72,6,7,10,9,30984,1076.34,26.3062,87.0783
3.72,4.86,1.69,0.9,11586.2,10588.2,6,7,8,7,13517,3651.63,48.5953,84.4129
2.34,4.58,4.61,1.87,11586.2,11494.4,6,7,9,8,20619,1504.38,34.4673,85.9048
4.59,1.05,1.94,1.06,11586.2,10565.1,6,6,8,7,12220,3903.25,54.5275,83.9127
4.21,3.65,3.99,2.08,11586.2,11292.2,6,7,9,8,20619,1504.38,34.4673,85.9048
0.32,2.42,3.23,2.24,11586.2,10537,5,6,9,8,18891,1806.92,43.0277,84.9414
1.64,4.1,1.64,0.41,11586.2,9656.32,5,7,8,6,11120,5619.68,67.6648,82.9752
2.12,2.34,1.13,2.26,11586.2,9881.6,6,6,8,8,16620,2145.77,46.3457,84.6187
2.29,4.24,1.35,4.47,11586.2,10099.2,6,7,8,9,23913,1614.88,36.7337,85.6282
2.78,1.85,0.44,1.55,11586.2,11468.8,5,6,7,7,10171,3876.95,70.4987,82.797
4.52,5,3.88,2.18,11586.2,11576.3,7,7,9,8,21207,1467.63,31.4755,86.2991
2.89,4.69,0.65,2.61,11586.2,11148.8,6,7,7,8,16299,3163.93,54.5056,83.9144
4.24,0.19,3.35,2.95,11586.2,11335.7,6,4,9,8,18179,3047.35,64.3231,83.1952
4.73,4.47,0.15,2.84,11586.2,10544.6,6,7,6,8,15621,5328.48,70.1797,82.8167
3.57,3.47,5.03,2.12,11586.2,9150.72,7,7,10,8,25576,1351.11,26.9915,86.9666
3.65,2.21,2.84,1.31,11586.2,11471.4,6,6,9,7,14922,3046.04,48.7242,84.4014
2.65,3.03,5.19,3.26,11586.2,11563.5,6,7,10,8,24988,1441.18,29.9733,86.5115
2.92,1.13,5.06,3.22,11586.2,10716.2,7,6,10,8,24279,1561.51,32.9258,86.1035
1.19,2.64,5.48,2.76,11586.2,10114.6,6,7,10,8,24988,1441.18,29.9733,86.5115
2.36,1.05,1.54,1.09,11586.2,10977.3,5,5,8,7,11075,3491.65,68.9287,82.8948
