dname,drange,reqerr,threshold,c0,c1,c2,Total_retrieve_size,Compression_error
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.11,0.74,0.27,1.04,16457561,0.00973988
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.12,2.25,0.36,0.93,16505804,0.00967884
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.13,2.25,0.36,0.93,16505804,0.00967884
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.14,2.25,0.36,0.93,16505804,0.00967884
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.15,2.25,0.36,0.93,16505804,0.00967884
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.16,4.68,0.42,0.85,16554402,0.00970936
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.17,4.68,0.42,0.85,16554402,0.00970936
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.18,4.68,0.42,0.85,16554402,0.00970936
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.19,4.68,0.42,0.85,16554402,0.00970936
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.2,0.68,0.4,0.8,16409558,0.00949574
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.21,0.68,0.4,0.8,16409558,0.00949574
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.22,0.68,0.4,0.8,16409558,0.00949574
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.23,2.63,0.38,0.77,16505804,0.00967884
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.24,2.94,0.4,0.75,16505804,0.00967884
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.25,2.94,0.4,0.75,16505804,0.00967884
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.26,2.94,0.4,0.75,16505804,0.00967884
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.27,2.94,0.4,0.75,16505804,0.00967884
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.28,2.74,0.45,0.68,16505804,0.00967884
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.29,5.3,0.47,0.65,16554402,0.00970936
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.3,5.3,0.47,0.65,16554402,0.00970936
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.31,5.3,0.47,0.65,16554402,0.00970936
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.32,5.3,0.47,0.65,16554402,0.00970936
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.33,0.49,0.45,0.62,16409558,0.00949574
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.34,3.53,0.39,0.64,16554402,0.00970936
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.35,3.53,0.39,0.64,16554402,0.00970936
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.36,3.53,0.39,0.64,16554402,0.00970936
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.37,4.92,0.45,0.56,16554402,0.00970936
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.38,0.75,0.35,0.61,16457561,0.00973988
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.39,1.33,0.38,0.57,16457561,0.00973988
cloudf48_log_1.02e-02.csv,10.15203,0.010152,0.4,1.33,0.38,0.57,16457561,0.00973988
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.01,3.55,0.38,1.52,6347499,0.731656
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.02,0.42,0.29,1.32,5903105,1.01096
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.03,0.42,0.29,1.32,5903105,1.01096
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.04,0.42,0.29,1.32,5903105,1.01096
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.05,0.42,0.29,1.32,5903105,1.01096
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.06,0.42,0.29,1.32,5903105,1.01096
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.07,0.31,0.28,1.27,5903105,1.01096
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.08,0.31,0.28,1.27,5903105,1.01096
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.09,0.31,0.28,1.27,5903105,1.01096
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.1,0.31,0.28,1.27,5903105,1.01096
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.11,0.31,0.28,1.27,5903105,1.01096
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.12,0.31,0.28,1.27,5903105,1.01096
cloudf48_log_1.02e+00.csv,10.15203,1.0152,0.13,0.31,0.28,1.27,5903105,1.01096
