c0,c1,Requested_tolerance,estimated_error,l0,l1,Total_retrieve_size,MaxErr,MSE,PSNR
3.64,0.63,11586.2,8888.32,9,6,9873,5368.98,48.8649,84.3889
3.58,0.46,11586.2,11100.2,8,6,7915,6161.85,60.2045,83.4825
0.86,2.97,11586.2,9605.12,7,8,12573,3520.19,52.7312,84.0582
3.07,1.24,11586.2,11366.4,8,7,9881,3630.74,43.9802,84.8463
1.12,3.97,11586.2,10424.3,8,8,14281,2416.77,35.4238,85.7859
2.07,4.39,11586.2,11110.4,9,8,16239,1613.53,24.4072,87.4037
4.8,2.68,11586.2,10403.8,9,8,16239,1613.53,24.4072,87.4037
5.53,5.36,11586.2,11151.4,9,9,22235,1186.46,20.6461,88.1305
5.49,4.95,11586.2,10690.6,9,9,22235,1186.46,20.6461,88.1305
2.16,3.29,11586.2,11161.6,8,8,14281,2416.77,35.4238,85.7859
3.35,3.92,11586.2,11458.6,9,8,16239,1613.53,24.4072,87.4037
4.88,4.36,11586.2,9461.76,9,9,22235,1186.46,20.6461,88.1305
5.2,3.85,11586.2,9267.2,9,9,22235,1186.46,20.6461,88.1305
3.35,3.28,11586.2,10147.8,9,8,16239,1613.53,24.4072,87.4037
4.42,3.87,11586.2,8488.96,9,9,22235,1186.46,20.6461,88.1305
3.47,4.7,11586.2,8366.08,9,9,22235,1186.46,20.6461,88.1305
3.8,3.38,11586.2,10813.4,9,8,16239,1613.53,24.4072,87.4037
3.95,3.3,11586.2,10803.2,9,8,16239,1613.53,24.4072,87.4037
0.58,4.46,11586.2,11509.8,7,8,12573,3520.19,52.7312,84.0582
5.09,2.32,11586.2,9963.52,9,8,16239,1613.53,24.4072,87.4037
3.89,5.25,11586.2,9359.36,9,9,22235,1186.46,20.6461,88.1305
3.21,4.09,11586.2,7475.2,9,9,22235,1186.46,20.6461,88.1305
4.83,1.49,11586.2,11049,9,7,11839,3015.83,32.5649,86.1513
2.5,1.81,11586.2,9973.76,9,7,11839,3015.83,32.5649,86.1513
3.63,3.07,11586.2,10004.5,9,8,16239,1613.53,24.4072,87.4037
0.17,3.71,11586.2,8990.72,6,8,12081,5753.57,79.5389,82.273
4.74,5.54,11586.2,10526.7,9,9,22235,1186.46,20.6461,88.1305
1.81,3.96,11586.2,9963.52,9,8,16239,1613.53,24.4072,87.4037
4.05,4.74,11586.2,9000.96,9,9,22235,1186.46,20.6461,88.1305
2.14,4.87,11586.2,7178.24,9,9,22235,1186.46,20.6461,88.1305
4.4,4.55,11586.2,9164.8,9,9,22235,1186.46,20.6461,88.1305
3.99,4.82,11586.2,9021.44,9,9,22235,1186.46,20.6461,88.1305
2.08,5.45,11586.2,7710.72,9,9,22235,1186.46,20.6461,88.1305
1.2,2.43,11586.2,7434.24,8,8,14281,2416.77,35.4238,85.7859
5.47,4.04,11586.2,9738.24,9,9,22235,1186.46,20.6461,88.1305
1.27,5.38,11586.2,8110.08,8,9,20277,1807.6,31.9312,86.2367
1.27,1.96,11586.2,10629.1,8,7,9881,3630.74,43.9802,84.8463
5.01,5.45,11586.2,10711,9,9,22235,1186.46,20.6461,88.1305
2.77,4.38,11586.2,7321.6,9,9,22235,1186.46,20.6461,88.1305
3.57,5.08,11586.2,8857.6,9,9,22235,1186.46,20.6461,88.1305
4.19,4.27,11586.2,8663.04,9,9,22235,1186.46,20.6461,88.1305
0.19,5.42,11586.2,6328.32,7,9,18569,2800.28,48.7127,84.4024
5.16,4.9,11586.2,10301.4,9,9,22235,1186.46,20.6461,88.1305
5.18,3.48,11586.2,8867.84,9,9,22235,1186.46,20.6461,88.1305
1.95,2.95,11586.2,10035.2,8,8,14281,2416.77,35.4238,85.7859
2.78,4.04,11586.2,11120.6,9,8,16239,1613.53,24.4072,87.4037
2.01,2.64,11586.2,9523.2,8,8,14281,2416.77,35.4238,85.7859
3.38,3.95,11586.2,11550.7,9,8,16239,1613.53,24.4072,87.4037
3.87,3.91,11586.2,7966.72,9,9,22235,1186.46,20.6461,88.1305
2.26,0.01,11586.2,7662.49,8,0,3302,61949.9,252.876,77.2498
4.76,0.81,11586.2,11509.8,9,6,9873,5368.98,48.8649,84.3889
2.04,0.96,11586.2,8110.08,8,7,9881,3630.74,43.9802,84.8463
3.62,0.98,11586.2,11427.8,8,7,9881,3630.74,43.9802,84.8463
0.36,2.2,11586.2,10485.8,7,7,8173,3984.33,59.9906,83.498
1.6,1.14,11586.2,11223,7,7,8173,3984.33,59.9906,83.498
5.18,3.72,11586.2,9113.6,9,9,22235,1186.46,20.6461,88.1305
4.43,1.88,11586.2,8386.56,9,8,16239,1613.53,24.4072,87.4037
3.7,1.8,11586.2,11161.6,9,7,11839,3015.83,32.5649,86.1513
